OA,
Time (s),Intensity (a.u.)
124.0999985,110.5520172
124.3000031,111.5715561
124.5,111.8013611
124.7000046,111.3867569
124.9000015,111.8443832
125.0999985,110.9674377
125.3000031,111.9003067
125.5,110.8047867
125.7000046,112.0890427
125.9000015,111.2090607
126.0999985,112.7889099
126.3000031,112.044899
126.5,113.1118164
126.7000046,110.6244049
126.9000015,111.5785522
127.0999985,112.1069031
127.3000031,111.6602554
127.5,110.5346146
127.7000046,111.0336227
127.9000015,111.9688339
128.1000061,111.0253143
128.3000031,112.2966537
128.5,112.0530777
128.6999969,111.0493546
128.9000092,111.2771378
129.1000061,110.9511719
129.3000031,111.5380554
129.5,111.3746948
129.6999969,111.5184021
129.9000092,112.6439896
130.1000061,112.3880768
130.3000031,111.3043137
130.5,112.4028397
130.6999969,111.8299713
130.9000092,112.5173569
131.1000061,112.3585587
131.3000031,111.6537857
131.5,112.8823624
131.6999969,112.0871658
131.9000092,111.2886963
132.1000061,111.8520279
132.3000031,113.6825867
132.5,111.6374207
132.6999969,112.1735001
132.9000092,112.0295258
133.1000061,112.792984
133.3000031,111.4079437
133.5,112.1280594
133.6999969,112.131546
133.9000092,111.578186
134.1000061,112.1314392
134.3000031,111.1819
134.5,110.9989471
134.6999969,110.5578613
134.9000092,112.7069778
135.1000061,111.9702759
135.3000031,111.5720749
135.5,111.1615219
135.6999969,110.4154434
135.9000092,111.5540543
136.1000061,112.2550735
136.3000031,111.0727463
136.5,112.5353165
136.6999969,111.4513092
136.9000092,111.8992233
137.1000061,109.8693771
137.3000031,110.6794586
137.5,110.9389343
137.6999969,112.5804138
137.9000092,111.7162094
138.1000061,111.6635742
138.3000031,109.8899994
138.5,110.8189621
138.6999969,111.5387726
138.9000092,111.6499023
139.1000061,111.2548599
139.3000031,111.3452606
139.5,111.3290176
139.6999969,112.0918732
139.9000092,111.9326019
140.1000061,110.9817734
