OA + 50uM NB65 + TBS,
Time (s),Intensity (a.u.)
0.100000002,81.95396423
0.300000012,81.83014679
0.5,83.04335785
0.699999988,83.00403595
0.900000036,83.87921906
1.100000024,81.19081879
1.300000072,81.66646576
1.5,82.64269257
1.700000048,83.57349396
1.899999976,81.60401154
2.100000143,82.82835388
2.299999952,83.91178894
2.5,82.87304688
2.700000048,85.08007813
2.900000095,84.01626587
3.100000143,82.93829346
3.299999952,84.02967834
3.5,84.12068176
3.700000048,83.17034149
3.900000095,83.02246094
4.099999905,83.27345276
4.300000191,83.74687195
4.5,84.40924835
4.700000286,82.74368286
4.900000095,82.86717224
5.099999905,82.94364929
5.300000191,82.76985931
5.5,83.68058777
5.700000286,83.97009277
5.900000095,83.76852417
6.099999905,83.55464935
6.300000191,83.66725159
6.5,84.2754364
6.700000286,83.73397064
6.900000095,83.5893631
7.099999905,83.67262268
7.300000191,84.61600494
7.5,82.8008194
7.700000286,83.47642517
7.900000095,83.97580719
8.100000381,84.55870819
8.300000191,84.42315674
8.5,84.95384216
8.699999809,85.65512848
8.900000572,85.30980682
9.100000381,84.33358002
9.300000191,84.04830933
9.5,84.37725067
9.699999809,84.1399231
9.900000572,84.98748779
10.10000038,85.81194305
10.30000019,84.91498566
10.5,84.30633545
10.69999981,84.22832489
10.90000057,84.29379272
11.10000038,84.15244293
11.30000019,84.35845184
11.5,83.86814117
11.69999981,85.78601074
11.90000057,84.15333557
12.10000038,84.1083374
12.30000019,83.51202393
12.5,84.81341553
12.69999981,85.65737152
12.90000057,84.51029968
13.10000038,84.29860687
13.30000019,84.17842865
13.5,84.05765533
13.69999981,84.73461914
13.90000057,84.47917938
14.10000038,85.55905151
14.30000019,86.2275238
14.5,85.45622253
14.69999981,85.75074768
14.90000057,84.97972107
15.10000038,87.15042877
15.30000019,87.04169464
15.5,87.68910217
15.69999981,87.76261139
15.90000057,89.15944672
16.10000038,88.92448425
16.30000114,89.76998138
16.5,88.96440887
16.70000076,89.99822235
16.89999962,90.67996216
17.10000038,92.1108017
17.30000114,91.3433075
17.5,90.56832886
17.70000076,93.1661911
17.89999962,92.40139771
18.10000038,92.10957336
18.30000114,92.50246429
18.5,92.60775757
18.70000076,93.51865387
18.89999962,92.90529633
19.10000038,93.16504669
19.30000114,93.32510376
19.5,93.93756866
19.70000076,92.52588654
19.89999962,91.38233185
20.10000038,93.02970886
20.30000114,93.28468323
20.5,92.25007629
20.70000076,91.17163086
20.89999962,91.57217407
21.10000038,91.84230804
21.30000114,92.06616211
21.5,90.352211
21.70000076,90.36864471
21.89999962,90.1843338
22.10000038,88.8675766
22.30000114,89.84130096
22.5,90.07626343
22.70000076,89.70426178
22.89999962,89.21012115
23.10000038,90.28585815
23.30000114,89.19757843
23.5,89.58181763
23.70000076,88.99256134
23.89999962,88.2882309
24.10000038,89.75085449
24.30000114,88.49732208
24.5,87.82226563
24.70000076,88.80725098
24.89999962,88.42807007
25.10000038,88.39761353
25.30000114,87.38760376
25.5,87.26124573
25.70000076,87.01042938
25.89999962,88.56811523
26.10000038,87.1282196
26.30000114,88.13476563
26.5,88.35456848
26.70000076,87.75215912
26.89999962,87.1955719
27.10000038,86.07172394
27.30000114,86.65522003
27.5,87.38475037
27.70000076,86.60281372
27.89999962,85.98756409
28.10000038,85.29143524
28.30000114,85.63018799
28.5,85.9454422
28.70000076,86.34789276
28.89999962,85.49038696
29.10000038,86.85781097
29.30000114,86.65255737
29.5,86.42403412
29.70000076,86.37442017
29.89999962,84.75080109
30.10000038,85.6838913
30.30000114,84.83939362
30.5,85.08366394
30.70000076,85.18831635
30.89999962,85.38585663
31.10000038,86.29515839
31.30000114,85.97344971
31.5,85.60237122
31.70000076,85.61226654
31.89999962,86.16990662
32.10000229,84.73419952
32.29999924,86.6312561
32.5,85.45153046
32.70000076,86.63577271
32.90000153,85.46298218
33.10000229,86.16139984
33.29999924,86.17321014
33.5,85.2481308
33.70000076,85.26799774
33.90000153,86.41436768
34.10000229,85.29351807
34.29999924,86.31900024
34.5,86.05640411
34.70000076,86.90356445
34.90000153,86.61313629
35.10000229,85.70363617
35.29999924,85.19320679
35.5,86.22887421
35.70000076,85.82462311
35.90000153,87.29844666
36.10000229,85.78553009
36.29999924,86.60237885
36.5,86.2898941
36.70000076,86.74164581
36.90000153,86.96872711
37.10000229,87.75904083
37.29999924,86.86521912
37.5,87.77349854
37.70000076,87.02777863
37.90000153,88.29166412
38.10000229,88.04278564
38.29999924,88.59562683
38.5,88.11443329
38.70000076,88.93508911
38.90000153,88.39152527
39.10000229,88.5866394
39.29999924,90.04195404
39.5,89.9912262
39.70000076,88.6125946
39.90000153,89.04536438
40.10000229,90.59291077
40.29999924,89.60781097
40.5,82.73715973
40.70000076,61.81726074
40.90000153,74.93878174
41.10000229,71.79021454
41.29999924,86.65182495
41.5,86.46814728
41.70000076,88.4855423
41.90000153,88.13928223
42.10000229,89.19689941
42.29999924,89.93904114
42.5,90.23542786
42.70000076,90.94617462
42.90000153,91.5137558
43.10000229,91.71366119
43.29999924,91.95571899
43.5,92.86419678
43.70000076,92.69873047
43.90000153,93.73856354
44.10000229,93.25081635
44.29999924,93.35198975
44.5,94.61212921
44.70000076,92.70747375
44.90000153,93.35822296
45.10000229,93.84597778
45.29999924,93.73490143
45.5,94.18729401
45.70000076,93.25418091
45.90000153,93.91508484
46.10000229,93.74373627
46.29999924,94.05158997
46.5,93.56475067
46.70000076,93.21125793
46.90000153,95.47743988
47.10000229,94.74377441
47.29999924,95.4680481
47.5,95.03337097
47.70000076,95.56761932
47.90000153,94.27122498
48.10000229,96.14440155
48.29999924,94.68868256
48.5,95.58198547
48.70000076,96.33525085
48.90000153,95.78344727
49.10000229,95.58322906
49.29999924,98.00470734
49.5,99.34492493
49.70000076,98.44972229
49.90000153,99.06092072
50.10000229,96.9723053
50.29999924,97.76763153
50.5,96.69510651
50.70000076,96.78798676
50.90000153,96.75889587
51.10000229,96.42079926
51.29999924,97.33278656
51.5,95.86174011
51.70000076,96.7333374
51.90000153,98.27801514
52.10000229,97.81933594
52.29999924,98.77780151
52.5,97.79087067
52.70000076,100.5521545
