OA + 25uM NB65 + TBS,
Time (s),Intensity (a.u.)
0.100000002,82.92713165
0.300000012,82.90399933
0.5,82.60855865
0.699999988,83.17532349
0.900000036,81.97592926
1.100000024,82.57681274
1.300000072,83.39299011
1.5,82.08816528
1.700000048,81.83253479
1.899999976,83.34327698
2.100000143,81.87355804
2.299999952,82.47445679
2.5,81.79095459
2.700000048,83.04494476
2.900000095,83.02941132
3.100000143,83.2021637
3.299999952,82.29213715
3.5,82.65318298
3.700000048,83.26791382
3.900000095,82.45655823
4.099999905,82.98918915
4.300000191,83.49958038
4.5,82.44877625
4.700000286,81.75005341
4.900000095,81.22690582
5.099999905,82.68990326
5.300000191,83.00892639
5.5,82.09754944
5.700000286,81.6675415
5.900000095,82.09300995
6.099999905,82.57200623
6.300000191,84.09462738
6.5,82.44733429
6.700000286,84.28495789
6.900000095,83.73965454
7.099999905,83.43736267
7.300000191,83.49800873
7.5,82.71050262
7.700000286,83.81048584
7.900000095,82.97745514
8.100000381,84.31259918
8.300000191,84.24378204
8.5,83.19821167
8.699999809,84.83816528
8.900000572,84.80727386
9.100000381,82.65896606
9.300000191,84.56982422
9.5,84.4389801
9.699999809,84.15422821
9.900000572,85.3117981
10.10000038,85.19698334
10.30000019,83.53708649
10.5,83.10733795
10.69999981,83.11655426
10.90000057,83.60997772
11.10000038,84.33599854
11.30000019,85.14076233
11.5,83.0810318
11.69999981,84.49019623
11.90000057,83.76527405
12.10000038,84.14051819
12.30000019,83.1158371
12.5,85.19491577
12.69999981,85.05563354
12.90000057,85.73616791
13.10000038,84.85163879
13.30000019,83.33686066
13.5,84.74362946
13.69999981,84.40467834
13.90000057,83.91513062
14.10000038,84.31802368
14.30000019,84.30063629
14.5,84.25173187
14.69999981,85.0333252
14.90000057,83.67491913
15.10000038,83.76027679
15.30000019,84.34662628
15.5,83.83577728
15.69999981,84.42804718
15.90000057,84.23643494
16.10000038,84.02903748
16.30000114,84.99695587
16.5,84.8532486
16.70000076,85.21365356
16.89999962,84.83525085
17.10000038,84.49319458
17.30000114,84.31004333
17.5,85.63465118
17.70000076,84.84465027
17.89999962,85.44334412
18.10000038,85.57881927
18.30000114,84.80205536
18.5,84.85283661
18.70000076,85.24279785
18.89999962,84.68153381
19.10000038,83.66964722
19.30000114,84.36371613
19.5,84.31845093
19.70000076,84.47027588
19.89999962,84.72820282
20.10000038,82.97792053
20.30000114,83.45487213
20.5,82.7599411
20.70000076,83.84223938
20.89999962,84.27555847
21.10000038,83.35349274
21.30000114,84.71899414
21.5,84.9614563
21.70000076,83.96181488
21.89999962,84.26148987
22.10000038,84.35900879
22.30000114,84.62999725
22.5,84.15867615
22.70000076,84.78562164
22.89999962,84.98880768
23.10000038,83.12464142
23.30000114,84.14295197
23.5,84.51459503
23.70000076,84.77446747
23.89999962,84.20546722
24.10000038,84.90065002
24.30000114,84.56484222
24.5,84.31986237
24.70000076,83.1889267
24.89999962,84.46572876
25.10000038,84.36672211
25.30000114,84.5196228
25.5,84.32431793
25.70000076,83.90391541
25.89999962,84.07034302
26.10000038,84.18212891
26.30000114,84.01576996
26.5,84.45880127
26.70000076,84.34645844
26.89999962,84.12158966
27.10000038,84.1711731
27.30000114,84.17941284
27.5,85.21401978
27.70000076,84.16735077
27.89999962,84.07241821
28.10000038,84.37934875
28.30000114,84.77832031
28.5,84.27392578
28.70000076,84.56152344
28.89999962,84.53790283
29.10000038,84.2155304
29.30000114,84.90924072
29.5,84.69802856
29.70000076,84.43083954
29.89999962,84.69937134
30.10000038,84.93151093
30.30000114,85.23258972
30.5,86.49225616
30.70000076,85.58013916
30.89999962,86.10079193
31.10000038,87.44587708
31.30000114,85.9925766
31.5,86.90618896
31.70000076,86.8989563
31.89999962,86.42527771
32.10000229,85.48833466
32.29999924,86.42704773
32.5,87.50079346
32.70000076,87.52383423
32.90000153,86.92722321
33.10000229,86.23737335
33.29999924,86.62361145
33.5,87.62551117
33.70000076,87.99115753
33.90000153,85.66384888
34.10000229,87.17745209
34.29999924,86.95029449
34.5,86.17391968
34.70000076,86.12221527
34.90000153,86.82674408
35.10000229,87.34933472
35.29999924,86.26850891
35.5,85.22145844
35.70000076,85.56627655
35.90000153,86.49363708
36.10000229,85.7361145
36.29999924,84.73217773
36.5,84.78947449
36.70000076,85.7552948
36.90000153,84.76831818
37.10000229,84.55739594
37.29999924,85.50354767
37.5,85.8923645
37.70000076,84.38047028
37.90000153,85.10507965
38.10000229,84.14511108
38.29999924,84.50564575
38.5,83.7554245
38.70000076,83.87689972
38.90000153,84.30434418
39.10000229,84.27155304
39.29999924,83.88582611
39.5,84.80469513
39.70000076,83.91907501
39.90000153,84.63176727
40.10000229,85.29385376
40.29999924,84.94452667
40.5,78.37076569
40.70000076,87.25295258
40.90000153,80.00085449
41.10000229,81.06757355
41.29999924,87.31570435
41.5,86.1904068
41.70000076,86.4389801
41.90000153,87.67488861
42.10000229,88.15328979
42.29999924,88.59204102
42.5,88.23652649
42.70000076,90.13825989
42.90000153,91.97828674
43.10000229,91.71353149
43.29999924,91.78208923
43.5,93.42201996
43.70000076,91.31790161
43.90000153,93.60482788
44.10000229,93.95317078
44.29999924,95.4666214
44.5,96.20085907
44.70000076,97.04650116
44.90000153,96.44270325
45.10000229,96.54218292
45.29999924,95.73429871
45.5,95.62886047
45.70000076,95.70170593
45.90000153,96.35411072
46.10000229,96.62191772
46.29999924,95.8927536
46.5,97.68159485
46.70000076,96.76396179
46.90000153,96.84333801
47.10000229,97.91786957
47.29999924,97.51642609
47.5,97.51441956
47.70000076,97.81568909
47.90000153,97.96865845
48.10000229,97.97303772
48.29999924,97.87692261
48.5,98.35484314
48.70000076,98.4012146
48.90000153,99.28782654
49.10000229,98.7790451
49.29999924,98.77419281
49.5,98.17080688
49.70000076,98.81141663
49.90000153,99.19046783
50.10000229,99.97032166
50.29999924,98.05005646
50.5,98.54269409
50.70000076,100.9147415
50.90000153,100.8355103
51.10000229,99.74401093
51.29999924,99.21717072
51.5,99.2154007
51.70000076,99.16376495
51.90000153,98.56243896
52.10000229,99.2776413
52.29999924,100.5702133
52.5,98.94703674
52.70000076,100.1978989
52.90000153,98.58161163
53.10000229,99.62587738
53.29999924,98.89247894
53.5,99.40976715
53.70000076,98.12523651
53.90000153,99.19996643
54.10000229,100.1253891
