GDP + 10ul TBS,
Time (s),Intensity (a.u.)
32.10000229,77.94982147
32.29999924,77.97239685
32.5,78.16899872
32.70000076,77.15887451
32.90000153,78.43702698
33.10000229,76.91088104
33.29999924,78.13606262
33.5,77.71749115
33.70000076,77.69341278
33.90000153,78.97484589
34.10000229,77.00854492
34.29999924,77.36437988
34.5,77.96552277
34.70000076,76.5874939
34.90000153,76.76973724
35.10000229,78.54788208
35.29999924,78.04473877
35.5,78.61065674
35.70000076,77.28359985
35.90000153,77.58105469
36.10000229,78.26373291
36.29999924,78.04776764
36.5,77.97898865
36.70000076,78.6110611
36.90000153,78.59762573
37.10000229,77.26167297
37.29999924,78.91653442
37.5,77.3152771
37.70000076,78.09928131
37.90000153,77.94339752
38.10000229,78.01271057
38.29999924,77.56638336
38.5,77.87174225
38.70000076,78.23789978
38.90000153,77.46047974
39.10000229,77.52055359
39.29999924,77.93762207
39.5,78.42867279
39.70000076,78.47179413
39.90000153,77.1075058
40.10000229,78.72554016
40.29999924,78.88923645
40.5,73.5977478
40.70000076,71.24906158
40.90000153,65.71031189
41.10000229,83.56072998
41.29999924,78.05950928
41.5,78.57844543
41.70000076,77.5410614
41.90000153,77.8714447
42.10000229,78.64665985
42.29999924,77.98040009
42.5,79.21393585
42.70000076,78.73371124
42.90000153,78.93965149
43.10000229,78.24833679
43.29999924,78.6904068
43.5,78.89442444
43.70000076,77.54051971
43.90000153,79.34062195
44.10000229,78.75814819
44.29999924,78.96814728
44.5,77.85553741
44.70000076,79.03998566
44.90000153,78.49695587
45.10000229,78.53613281
45.29999924,78.06434631
45.5,78.81877899
45.70000076,79.2846756
45.90000153,78.50576782
46.10000229,79.88045502
46.29999924,79.79553986
46.5,79.86052704
46.70000076,78.81428528
46.90000153,78.55162048
47.10000229,79.07597351
47.29999924,79.98513031
47.5,78.96834564
47.70000076,79.12643433
47.90000153,79.0083313
48.10000229,78.50467682
48.29999924,79.93502045
48.5,79.2032547
48.70000076,79.29257965
48.90000153,79.08905029
49.10000229,80.42040253
49.29999924,79.70838165
49.5,80.59575653
49.70000076,78.49228668
49.90000153,80.72383881
50.10000229,79.72757721
50.29999924,80.1600647
50.5,80.11206818
50.70000076,79.31512451
50.90000153,79.18989563
51.10000229,80.19966125
51.29999924,80.87771606
51.5,79.21113586
51.70000076,79.92144012
51.90000153,78.69530487
52.10000229,80.29823303
52.29999924,79.759552
52.5,80.46091461
52.70000076,79.35432434
52.90000153,78.95743561
53.10000229,79.39809418
