"Excel Raw Data Export"
"Copyright (c) 2013 QIAGEN GmbH. All Rights Reserved."
"File","251210_HsUCP1_QC_ug_Screen.rex"
"Date","12/10/2025"
"Time","11:30:08 AM"

"Operator","UEA"
"Run Id",""
"Notes",""
"Machine Serial No","0614132"

"Channel","Gain"
"Green","5"
"Yellow","5"
"HRM","-1"

"Channel","Threshold"
"HRM A.HRM (Page 1)","0.45325"


"Channel HRM A.HRM"

"ID","1","2","3","4","5","6","7"
"Page 1"," HsUCP1 2ug -GDP"," HsUCP1 2ug  + 1mM GDP"," HsUCP1 3ug -GDP"," HsUCP1 3ug  + 1 mM GDP"," HsUCP1 4ug -GDP"," HsUCP1 4ug  + 1 mM GDP"," Blank"
"25","62.8064611058431","57.9406042572671","97.6729991607538","88.29774711441","100","100","5.61493858243687"
"26","62.7818370688593","57.980996648884","98.1599654128837","88.576878222106","100","100","5.62823936319015"
"27","62.9482777846248","57.9516523760058","98.2985387478768","88.6040538134839","100","100","5.63210498207065"
"28","63.0185397116045","58.0215406525775","98.7527445046328","88.9599802806486","100","100","5.642157984732"
"29","62.9791060393029","58.2311741817349","99.1848630502785","89.1990359888519","100","100","5.65794359248239"
"30","63.5373682546949","58.3852685042889","99.5268529441109","89.2836979149637","100","100","5.67622898705526"
"31","63.6579944558887","58.6116469934277","100","89.7234302281224","100","100","5.69728280417225"
"32","63.9926320722842","58.7394957983193","100","89.9850551344365","100","100","5.7194883141324"
"33","64.0597899341319","58.9185713195784","100","90.2611053400708","100","100","5.7500354227294"
"34","64.3679458813357","58.9846210857884","100","90.4550748963658","100","100","5.77335992762864"
"35","64.5276569771877","58.9464154014394","100","90.4434541040037","100","100","5.76852063782711"
"36","64.1482159660233","58.8359713834651","100","90.1626259602913","100","100","5.76428625925078"
"37","64.1259441519799","58.6310309816833","100","89.9557996999059","100","100","5.73608431699528"
"38","63.9050888838025","58.2250487743736","100","89.2635342074573","100","100","5.69266422522316"
"39","63.4951879584519","57.989147020676","100","88.6835024541594","100","100","5.64932587821121"
"40","63.3791552784996","57.4837872892348","100","88.2036989664256","100","100","5.60290938684164"
"41","63.0912085594137","57.1931616106485","100","87.6083517713181","100","100","5.5623829897119"
"42","62.8264794893314","56.7561499307894","100","87.1649691004807","100","100","5.48460110373592"
"43","63.0783169298848","56.4688443470773","100","86.6956588082704","100","100","5.43341071837295"
"44","63.3298776136685","56.3571265081908","100","86.4647987828686","100","100","5.373137581881"
"45","63.8181124589914","56.3375295643549","100","86.5521342434891","100","100","5.33509902015281"
"46","64.4393581038122","56.3170106678515","100","86.881246662089","100","100","5.285623458203"
"47","65.1400602144479","56.5417606731409","100","87.3429683157309","100","100","5.24640385935877"
"48","66.5255207141222","56.9043513644109","100","87.9264079172525","100","100","5.21171892881666"
"49","67.6527264602339","57.236781872282","100","89.1631516419797","100","100","5.17304317716311"
"50","69.2167544060426","57.7244983596551","100","90.709798835228","100","100","5.15571831845579"
"51","70.6437399862669","58.4278719498786","100","92.815398532954","100","100","5.12212667168034"
"52","71.8544289311055","59.4018463416495","100","95.4571030746929","100","100","5.11413054786824"
"53","72.6655815806651","60.4097556013326","100","98.7025062943465","100","100","5.12609234055789"
"54","73.5015095532376","61.5982871747921","100","100","100","100","5.12909581319367"
"55","73.7179624119427","62.7899040762396","100","100","100","100","5.11757076371404"
"56","73.8348783093004","63.9310101472496","100","100","100","100","5.10054605499787"
"57","73.7694022702034","65.3803311207752","100","100","100","100","5.08703092131794"
"58","73.9809516543323","66.7462043183032","100","100","100","100","5.07114518959335"
"59","73.726798112241","68.4749697544387","100","100","100","100","5.06185353518839"
"60","73.3339436942092","69.682553656003","100","100","100","100","5.06250749326968"
"61","72.8278237364985","71.0727092393378","100","100","100","100","5.05249690417921"
"62","72.8564380356552","72.1406227860794","100","100","100","100","5.05238930851199"
"63","72.6420098824607","72.5345235370413","100","100","100","100","5.06650390376643"
"64","72.2258144502937","72.8579058082377","100","100","100","100","5.07711255708509"
"65","71.4733675571396","72.8732738231479","100","100","100","100","5.08964675364309"
"66","70.6219141353039","72.8342679484245","100","100","100","100","5.11130282702725"
"67","70.2491798275731","72.5520714122225","100","100","100","100","5.12914414493723"
"68","70.1657638412044","72.3047735306833","100","100","100","100","5.15569651985308"
"69","69.5984016174563","72.1091238051641","100","100","100","100","5.18915737501226"
"70","69.2639869476674","71.7141476564686","100","100","100","100","5.22997889168638"
"71","68.8957917797469","71.4865847765825","100","100","100","100","5.27308199544409"
"72","68.6088540474556","71.1482413977264","100","100","100","100","5.32068221699716"
"73","68.1313420309758","71.1351365906857","100","100","100","100","5.37488147009777"
"74","67.789444571603","70.8260852979324","100","100","100","100","5.44890135042344"
"75","67.4329556725414","70.51006215117","100","100","100","100","5.50517766356631"
"76","67.2312504768444","70.0358587014572","100","100","100","100","5.57895272246382"
"77","67.1254083522337","69.8714681722235","100","100","100","100","5.64965285725185"
"78","67.0038910505836","69.6999422337028","100","100","100","100","5.74186821291422"
"79","66.8944956012935","69.436857319668","100","100","100","100","5.81968922458737"
"80","66.6870120291956","69.3203123013148","100","100","100","100","5.90762569619288"
"81","66.9047074082551","69.0148266829429","100","100","100","100","6.01428479203714"
"82","66.82815798174","69.2575098663448","100","100","100","100","6.11385410195207"
"83","67.0146995244272","68.666870120292","100","100","100","100","6.22393704563538"
"84","66.8775681478817","68.5894051524631","100","100","100","100","6.33554589150835"
"85","66.909380483711","68.2818849978383","100","100","100","100","6.44628279327295"
"86","67.1172239677619","68.1576765595992","100","100","100","100","6.55141018794029"
"87","66.9194577960886","67.5626982310434","100","100","100","100","6.67229343099107"
"88","66.8874865121146","67.5446473111843","100","100","100","100","6.78906582088088"
"89","66.8991124335597","67.1431841218978","100","100","100","100","6.91593368865056"
"90","66.8881404701959","66.6153728776755","100","100","100","100","7.03004937383514"




"Melt analysis of channel HRM A.HRM : Page 1"

"ID","1","2","3","4","5","6","7"
"Page 1"," HsUCP1 2ug -GDP"," HsUCP1 2ug  + 1mM GDP"," HsUCP1 3ug -GDP"," HsUCP1 3ug  + 1 mM GDP"," HsUCP1 4ug -GDP"," HsUCP1 4ug  + 1 mM GDP"," Blank"
"25.5","7.06928685871375E-02","2.69787984367937E-02","0.359915114626347","0.220744388746226","0","0","9.07313409837851E-03"
