"Excel Raw Data Export"
"Copyright (c) 2013 QIAGEN GmbH. All Rights Reserved."
"File","251203_HsUCP1_NB65_GDP_Binding_Minus2_Gain_Low_Salt_rep2.rex"
"Date","12/3/2025"
"Time","3:27:11 PM"

"Operator","UEA"
"Run Id",""
"Notes",""
"Machine Serial No","0614132"

"Channel","Gain"
"Green","5"
"Yellow","5"
"HRM","-2"

"Channel","Threshold"
"HRM A.HRM (Page 1)","0.25011"


"Channel HRM A.HRM"

"ID","1","2","3","4","5","6","7","8"
"Page 1"," HsUCP1 Standard"," HsUCP1 + 1mM GDP"," HsUCP1 + 0.1uM NB65 + 1mM GDP"," HsUCP1 + 0.5uM NB65 + 1mM GDP"," HsUCP1 + 1uM NB65 + 1mM GDP"," HsUCP1 + 5uM NB65 + 1mM GDP"," HsUCP1 + 10uM NB65 + 1mM GDP"," Blank"
"25","15.8329958741952","14.4135767147326","13.8486187650756","13.9714874276559","12.9023246532974","12.0827293303833","14.8966709900562","2.31544757981013"
"26","15.9168031175356","14.4628061341268","13.8972631854298","14.0108339055467","12.9504590422421","12.1430122482995","14.908886032713","2.32331324228784"
"27","16.0125828242102","14.4983087917398","13.9130587883163","14.0290493629358","12.9256122682536","12.1417127162149","14.9178737642917","2.31817240514883"
"28","16.0099183642329","14.5127539991353","13.9293071314129","14.0466339184581","12.9242825534883","12.1349551493749","14.9391927977417","2.32166018158236"
"29","16.0883497367819","14.5244907301442","13.9750260674957","14.0571196053","12.9204677980141","12.1656911791954","14.9529024420304","2.33208717987844"
"30","16.0989616929191","14.5676928358892","13.9833676661326","14.1134762595051","12.9331109875857","12.1495193408103","14.9645227740902","2.32373104883977"
"31","16.1972169891602","14.6153091586829","14.0668853793139","14.1467917906462","12.9688774641853","12.2022329035376","15.0277890264157","2.33463035019455"
"32","16.2766079194324","14.6518145520205","14.0675974670024","14.179573256021","12.9572493069861","12.2065054296686","15.0376570861808","2.33361308206811"
"33","16.31201178466","14.7324766482468","14.1539165801011","14.2312759085476","13.0220492866407","12.2816345933764","15.1238269626917","2.354636623348"
"34","16.3982604715038","14.7402151522087","14.1743401940243","14.2716244615993","13.0110409922724","12.2406856387172","15.1374192298889","2.35141527428092"
"35","16.4298583845391","14.7734328691069","14.1618982223239","14.2802828005392","12.9964904249638","12.2469927011012","15.1154599323517","2.34734620177513"
"36","16.3511863889525","14.7595432466112","14.193942168307","14.2457274738689","12.9502301569136","12.207312886244","15.0915541313802","2.34693929452455"
"37","16.340377915109","14.6961987428914","14.1334609542437","14.2043373769741","12.8902113374533","12.1804633656316","15.0225070572976","2.33354042005907"
"38","16.3347829404135","14.6857186454348","14.0989293252969","14.1577019913024","12.8104575163399","12.1043462780702","14.9241372294703","2.31522959378304"
"39","16.2839921961002","14.6001842820337","14.0368759695837","14.1102082856489","12.7382314793622","12.0258258945602","14.8110424455126","2.29670078147991"
"40","16.2364576180667","14.561938913049","13.9723593717643","14.034376396473","12.6199740596628","11.9196358180107","14.6957732509346","2.27991585739354"
"41","16.2153810940719","14.4572692890386","13.899879017755","13.9622593525088","12.4921797512779","11.8181124589914","14.6134699015793","2.2472470181328"
"42","16.2313485705566","14.4146893517459","13.8592246237016","13.930724040589","12.4626971411133","11.7849495180692","14.5630197604334","2.23107245492231"
"43","16.2550545510033","14.409203370064","13.8652863120705","13.9291532589232","12.4134322989896","11.7699375470032","14.5604638742657","2.2164819235087"
"44","16.3577888503501","14.3908925437879","13.8420945550724","13.9139391165026","12.3814051211625","11.7453386622533","14.5746547646296","2.19143029854863"
"45","16.518595465723","14.4307621881437","13.8531891355764","13.9487207105319","12.3965311156888","11.7533569848173","14.5890491086188","2.17201277398119"
"46","16.6861473512881","14.4975967040513","13.921416037232","14.019887591872","12.4090435136441","11.7817769130999","14.6392363308335","2.15753593724054"
"47","17.0477861702398","14.5659101713119","14.019662339644","14.1371568082486","12.4569959680969","11.8796571806414","14.7543551791663","2.14401973500165"
"48","17.3661754435387","14.6859947610691","14.0907530327306","14.2764426133618","12.5137204038554","11.9597161821927","14.862736122144","2.12737692925648"
"49","17.823359214982","14.8373642582844","14.2602602250119","14.4427732182367","12.6263319854531","12.0824205168449","15.0693331807431","2.11536994324818"
"50","18.3055364817782","15.0731670099947","14.4774329965449","14.6871607068448","12.7528365431776","12.2446608095498","15.3379328385051","2.10389214051379"
"51","18.8727397573816","15.3456713424669","14.6987106126497","14.9580122580809","12.9266803997864","12.4556125952326","15.6442613361817","2.08479854623137"
"52","19.4666018158236","15.6560834450512","14.9746954553546","15.2633648490824","13.1430315316788","12.7006224783344","16.0396555051409","2.08122159369584"
